Артикул;Категория;Наименование;Описание;Цена в руб.;Ссылка
838668;Видеокарта PCI-E;PNY Quadro P400 V2;2GB GDDR5 64bit 14nm 1070/4000MHz 3*mDP OEM;10574;https://www.xcomspb.ru/pny_quadro_p400_v2_838668.html
873466;Видеокарта PCI-E;Sinotex GeForce GT 740 Ninja (NK74NP045F);4GB GDDR5 128bit 28nm 1100/5000MHz DVI/HDMI/CRT RTL;10594;https://www.xcomspb.ru/sinotex_geforce_gt_740_ninja_nk74np045f_873466.html
874805;Видеокарта PCI-E;PNY T400;2GB GDDR6 64bit 1.094 TFLOPS 3*mDP;10629;https://www.xcomspb.ru/pny_t400_874805.html
770691;Видеокарта PCI-E;PNY Quadro P400 V2;2GB GDDR5 64bit 14nm 3*mDP RTL;10814;https://www.xcomspb.ru/pny_quadro_p400_v2_770691.html
770694;Видеокарта PCI-E;PNY Quadro P400 V2;2GB GDDR5 64bit 14nm 1070/4000MHz 3*mDP RTL;10814;https://www.xcomspb.ru/pny_quadro_p400_v2_770694.html
873453;Видеокарта PCI-E;Afox GeForce GT 740 (AF740-4096D5H3);4GB DDR5 128bit 28nm DVI/HDMI/VGA RTL;10848;https://www.xcomspb.ru/afox_geforce_gt_740_af740-4096d5h3_873453.html
770690;Видеокарта PCI-E;PNY Quadro P400 V2;2GB GDDR5 64bit 14nm 3*mDP (10 cards) Bulk;11408;https://www.xcomspb.ru/pny_quadro_p400_v2_770690.html
863225;Видеокарта PCI-E;PNY T600 (VCNT600-SB);4GB GDDR6 128bit 4*mDP;18424;https://www.xcomspb.ru/pny_t600_vcnt600-sb_863225.html
845800;Видеокарта PCI-E;Afox GeForce GTX 1060 (AF1060-3072D5H7);3GB GDDR5 192bit 16nm 1506/8000MHz DP/DVI/HDMI Retail;27636;https://www.xcomspb.ru/afox_geforce_gtx_1060_af1060-3072d5h7_845800.html
618220;Видеокарта PCI-E;AMD Radeon Pro WX 4100;RADEON PRO WX 4100;29479;https://www.xcomspb.ru/amd_radeon_pro_wx_4100_618220.html
770684;Видеокарта PCI-E;PNY Quadro P1000 V2;4GB GDDR5 128bit 14nm 4*mDP BULK;29950;https://www.xcomspb.ru/pny_quadro_p1000_v2_770684.html
770687;Видеокарта PCI-E;PNY Quadro P1000 V2;4GB GDDR5 128 bit PCI-Express 3.0 4*mDP;31717;https://www.xcomspb.ru/pny_quadro_p1000_v2_770687.html
770688;Видеокарта PCI-E;PNY Quadro P1000 V2;4GB GDDR5 128bit 14nm 4*mDP RTL;31888;https://www.xcomspb.ru/pny_quadro_p1000_v2_770688.html
863224;Видеокарта PCI-E;PNY T1000 (VCNT1000-SB);4GB GDDR6 128bit 4*mDP;31888;https://www.xcomspb.ru/pny_t1000_vcnt1000-sb_863224.html
770686;Видеокарта PCI-E;PNY Quadro P1000 V2;4GB GDDR5 128bit 14nm 4*mDP (10 cards) BULK;32951;https://www.xcomspb.ru/pny_quadro_p1000_v2_770686.html
863222;Видеокарта PCI-E;PNY T1000 (VCNT1000-BLK);4GB GDDR6 128bit 12nm 1065/10000MHz 4*miniDP;34393;https://www.xcomspb.ru/pny_t1000_vcnt1000-blk_863222.html
863223;Видеокарта PCI-E;PNY T1000 (VCNT1000BLK-1);4GB GDDR6 128bit 4*mDP;36153;https://www.xcomspb.ru/pny_t1000_vcnt1000blk-1_863223.html
741302;Видеокарта PCI-E;PNY Quadro P2200;5GB GDDR5x 160bit 16nm 1253/10024MHz 4*DP;54918;https://www.xcomspb.ru/pny_quadro_p2200_741302.html
741274;Видеокарта PCI-E;PNY Quadro P2200;5GB GDDR5X 160bit 16nm 1253/10024MHz 4*DP;55715;https://www.xcomspb.ru/pny_quadro_p2200_741274.html
869345;Видеокарта PCI-E;ASUS GeForce GTX 1660 Ti TUF Gaming EVO (TUF-GTX1660TI-T6G-EVO-GAMING);6GB GDDR6 192bit 12nm 1500/12000MHz DVI/2*HDMI/DP;59170;https://www.xcomspb.ru/asus_geforce_gtx_1660_ti_tuf_gaming_evo_tuf-gtx1660ti-t6g-evo-gaming_869345.html
696697;Видеокарта PCI-E;Palit GeForce GTX 1660 Ti StormX (NE6166T018J9-161F);6GB GDDR6 192bit 12nm 1500/12000MHz DVI/HDMI/DP Box;59524;https://www.xcomspb.ru/palit_geforce_gtx_1660_ti_stormx_ne6166t018j9-161f_696697.html
870368;Видеокарта PCI-E;PNY GeForce GTX 1660 Ti XLR8 (VCG1660T6DFPPB);6GB GDDR6 192bit 12nm 1500/288000MHz DVI-D/HDMI/DP;59879;https://www.xcomspb.ru/pny_geforce_gtx_1660_ti_xlr8_vcg1660t6dfppb_870368.html
875159;Видеокарта PCI-E;GIGABYTE GeForce GTX 1660 Ti (GV-N166TOC-6GD 1.0A);6GB GDDR6 192bit 12nm 1800/12000MHz HDMI/3*DP;60566;https://www.xcomspb.ru/gigabyte_geforce_gtx_1660_ti_gv-n166toc-6gd_10a_875159.html
871308;Видеокарта PCI-E;Palit GeForce GTX 1660 Ti Dual (NE6166T018J9-1160C);6GB GDDR6 192bit 12nm 1500/12000MHz DVI/HDMI/DP;60566;https://www.xcomspb.ru/palit_geforce_gtx_1660_ti_dual_ne6166t018j9-1160c_871308.html
705122;Видеокарта PCI-E;MSI GeForce GTX 1660 Ti ARMOR (GTX 1660 Ti ARMOR 6G);6GB GDDR6 192bit 12nm 1770/12000MHz 3*DP/HDMI RTL;60587;https://www.xcomspb.ru/msi_geforce_gtx_1660_ti_armor_gtx_1660_ti_armor_6g_705122.html
869344;Видеокарта PCI-E;ASUS GeForce GTX 1660 Ti TUF Gaming EVO OC (TUF-GTX1660TI-O6G-EVO-GAMING);6GB GDDR6 192bit 12nm 1500/12000MHz DVI/2*HDMI/DP;61296;https://www.xcomspb.ru/asus_geforce_gtx_1660_ti_tuf_gaming_evo_oc_tuf-gtx1660ti-o6g-evo-gaming_869344.html
741080;Видеокарта PCI-E;GIGABYTE GeForce GTX 1660 Super OC (GV-N166SOC-6GD);6GB GDDR6 192bit 12nm 1530/14000MHz HDMI/3*DP/HDCP Ret;62005;https://www.xcomspb.ru/gigabyte_geforce_gtx_1660_super_oc_gv-n166soc-6gd_741080.html
